Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
32,Alex Quevedo,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallorca,2023-2024,
33,Rubï¿½ï¿½n Quintan,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallorca,2023-2024,
34,Squad Total,,,28.7,38,418,3420,38,33,27,60,32,1,3,105,4,40.5,38.2,30.8,69,498,1174,1155,0.87,0.71,1.58,0.84,1.55,1.06,0.81,1.87,1.01,1.81,Mallorca,2023-2024,
35,Opponent Total,,,27,38,418,3420,38,43,29,72,39,4,5,53,1,42.9,39,28.5,67.5,663,1399,1386,1.13,0.76,1.89,1.03,1.79,1.13,0.75,1.88,1.03,1.78,Mallorca,2023-2024,
0,Sergio Herrera,es ESP,GK,30,,32,2869,31.9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Osasuna,2023-2024,32
1,Jesï¿½ï¿½s A,es ESP,DF,24,,29,2660,29.6,1,6,7,1,0,0,3,0,0.2,0.2,3.6,3.8,78,106,180,0.03,0.2,0.24,0.03,0.24,0.01,0.12,0.13,0.01,0.13,Osasuna,2023-2024,37
2,Ante Budimir,hr CRO,FW,32,,29,2435,27.1,17,2,19,14,3,4,4,0,14.2,11.1,1.8,12.9,21,42,99,0.63,0.07,0.7,0.52,0.59,0.53,0.07,0.59,0.41,0.48,Osasuna,2023-2024,33
3,Catena,es ESP,DF,28,,28,2534,28.2,1,3,4,1,0,0,8,1,1.3,1.3,1,2.4,5,77,1,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.08,0.05,0.08,Osasuna,2023-2024,30
4,David Garcï¿½,es ESP,DF,29,,27,2334,25.9,0,1,1,0,0,0,5,0,1,1,1.3,2.2,21,133,4,0,0.04,0.04,0,0.04,0.04,0.05,0.09,0.04,0.09,Osasuna,2023-2024,27
5,Aimar Oroz,es ESP,MF,21,,26,2339,26,2,1,3,1,1,1,3,0,3.5,2.8,1.6,4.4,52,103,126,0.08,0.04,0.12,0.04,0.08,0.14,0.06,0.2,0.11,0.17,Osasuna,2023-2024,33
6,Rubï¿½ï¿½n P,es ESP,"DF,FW",32,,26,2088,23.2,0,2,2,0,0,0,3,0,0.9,0.9,2.6,3.5,62,78,147,0,0.09,0.09,0,0.09,0.04,0.11,0.15,0.04,0.15,Osasuna,2023-2024,29
7,Moi Gï¿½ï¿,es ESP,"MF,FW",29,,23,2006,22.3,3,0,3,3,0,0,3,0,1.7,1.7,0.9,2.6,36,127,69,0.13,0,0.13,0.13,0.13,0.08,0.04,0.12,0.08,0.12,Osasuna,2023-2024,28
8,Johan Mojica,co COL,DF,30,,22,2041,22.7,0,3,3,0,0,0,1,0,1,1,2.6,3.6,57,82,117,0,0.13,0.13,0,0.13,0.04,0.11,0.16,0.04,0.16,Osasuna,2023-2024,30
9,Jon Moncayola,es ESP,MF,25,,21,1800,20,1,3,4,1,0,0,2,1,0.6,0.6,2.3,2.9,14,99,46,0.05,0.15,0.2,0.05,0.2,0.03,0.11,0.14,0.03,0.14,Osasuna,2023-2024,33
10,Lucas Torrï¿,es ESP,MF,29,,21,1788,19.9,1,0,1,1,0,0,5,0,1.5,1.5,0.6,2,3,60,15,0.05,0,0.05,0.05,0.05,0.07,0.03,0.1,0.07,0.1,Osasuna,2023-2024,28
11,Iker Muï¿½ï,es ESP,MF,20,,20,1854,20.6,4,0,4,4,0,0,5,0,1.1,1.1,0.2,1.2,17,80,23,0.19,0,0.19,0.19,0.19,0.05,0.01,0.06,0.05,0.06,Osasuna,2023-2024,28
12,Rubï¿½ï¿½n Gar,es ESP,"FW,MF",30,,19,1547,17.2,3,2,5,3,0,0,1,0,2.3,2.3,3.3,5.6,16,59,117,0.17,0.12,0.29,0.17,0.29,0.13,0.19,0.33,0.13,0.33,Osasuna,2023-2024,30
13,Juan Cruz Armada,es ESP,DF,31,,18,1667,18.5,0,1,1,0,0,0,3,0,0,0,0.4,0.4,16,77,29,0,0.05,0.05,0,0.05,0,0.02,0.02,0,0.02,Osasuna,2023-2024,26
14,Jorge Herrando,es ESP,DF,22,,18,1644,18.3,0,1,1,0,0,0,4,0,0.4,0.4,0.2,0.6,3,35,1,0,0.05,0.05,0,0.05,0.02,0.01,0.03,0.02,0.03,Osasuna,2023-2024,19
15,Raï¿½,es ESP,FW,22,,13,1355,15.1,6,1,7,6,0,0,4,0,4.9,4.9,0.6,5.5,16,22,68,0.4,0.07,0.46,0.4,0.46,0.32,0.04,0.37,0.32,0.37,Osasuna,2023-2024,35
16,Pablo Ibï¿½ï¿½,es ESP,MF,24,,12,1152,12.8,1,2,3,1,0,0,5,0,2.3,2.3,1.2,3.5,26,67,54,0.08,0.16,0.23,0.08,0.23,0.18,0.09,0.27,0.18,0.27,Osasuna,2023-2024,33
17,Ezequiel ï¿½ï¿½,ar ARG,"FW,MF",29,,10,864,9.6,1,3,4,1,0,0,3,2,2,2,2.3,4.3,14,39,75,0.1,0.31,0.42,0.1,0.42,0.21,0.24,0.45,0.21,0.45,Osasuna,2023-2024,17
18,Josï¿½ï¿½ Ar,es ESP,"FW,MF",28,,9,929,10.3,2,1,3,2,0,0,3,0,1.7,1.7,1.8,3.5,23,11,85,0.19,0.1,0.29,0.19,0.29,0.17,0.17,0.34,0.17,0.34,Osasuna,2023-2024,26
19,Unai Garcï¿½,es ESP,DF,31,,6,560,6.2,1,0,1,1,0,0,6,1,0.1,0.1,0,0.1,2,12,1,0.16,0,0.16,0.16,0.16,0.02,0,0.02,0.02,0.02,Osasuna,2023-2024,9
20,Aitor Fernï¿½ï¿½,es ESP,GK,32,,6,551,6.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Osasuna,2023-2024,7
21,Kike Barja,es ESP,"FW,MF",26,,3,303,3.4,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.7,17,8,41,0,0,0,0,0,0.07,0.14,0.2,0.07,0.2,Osasuna,2023-2024,16
22,Nacho Vidal,es ESP,"DF,FW",28,,0,96,1.1,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,0,1,4,0.94,0,0.94,0.94,0.94,0.28,0.01,0.29,0.28,0.29,Osasuna,2023-2024,7
23,Darko Braï¿½ï¿½,rs SRB,MF,31,,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0.07,0.07,0,0.07,Osasuna,2023-2024,2
24,Iï¿½ï¿½igo Argui,es ESP,DF,18,,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Osasuna,2023-2024,1
25,Jorge Moreno,es ESP,DF,22,,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Osasuna,2023-2024,1
26,Xabier Huarte Armendï¿½ï¿,es ESP,MF,22,,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Osasuna,2023-2024,1
27,Asier Osambela,es ESP,MF,19,,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Osasuna,2023-2024,1
28,Max Svensson,es ESP,FW,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Osasuna,2023-2024,1
29,Javi Martï¿½ï¿,es ESP,MF,23,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna,2023-2024,0
30,Dimitrios Stamatakis,gr GRE,GK,20,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna,2023-2024,0
31,Pablo Valencia,es ESP,GK,22,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna,2023-2024,0
32,Squad Total,,,27.7,,418,3420,38,45,32,77,41,4,5,78,5,40.5,36.6,28.5,65.1,501,1322,1306,1.18,0.84,2.03,1.08,1.92,1.07,0.75,1.82,0.96,1.71,Osasuna,2023-2024,38
33,Opponent Total,,,27,,418,3420,38,56,44,100,55,1,2,92,6,49.9,48.5,38.3,86.8,646,1427,1414,1.47,1.16,2.63,1.45,2.61,1.31,1.01,2.32,1.28,2.28,Osasuna,2023-2024,38
0,Germï¿½ï¿½n Pezz,ar ARG,DF,32,32,32,2767,30.7,1,0,1,1,0,0,7,0,2,2,0.3,2.3,5,64,1,0.03,0,0.03,0.03,0.03,0.07,0.01,0.08,0.07,0.08,Real Betis,2023-2024,
1,Ayoze Pï¿½ï¿,es ESP,FW,30,31,29,2294,25.5,9,1,10,9,0,0,4,0,7.4,7.4,3.9,11.3,90,80,175,0.35,0.04,0.39,0.35,0.39,0.29,0.15,0.44,0.29,0.44,Real Betis,2023-2024,
2,Rui Silva,pt POR,GK,29,28,28,2475,27.5,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Real Betis,2023-2024,
3,Isco,es ESP,MF,31,29,28,2326,25.8,8,5,13,6,2,2,10,0,8.3,6.7,6.4,13.1,100,216,145,0.31,0.19,0.5,0.23,0.43,0.32,0.25,0.57,0.26,0.51,Real Betis,2023-2024,
4,Willian Josï¿,br BRA,FW,31,33,25,1971,21.9,10,5,15,10,0,0,0,1,5.7,5.7,2.5,8.2,8,32,90,0.46,0.23,0.68,0.46,0.68,0.26,0.12,0.37,0.26,0.37,Real Betis,2023-2024,
5,Chadi Riad,ma MAR,DF,20,26,24,2164,24,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,4,34,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Real Betis,2023-2024,
6,Marc Roca,es ESP,MF,26,26,24,1980,22,2,2,4,2,0,0,5,0,1.1,1.1,1.4,2.5,24,126,20,0.09,0.09,0.18,0.09,0.18,0.05,0.06,0.12,0.05,0.12,Real Betis,2023-2024,
7,Guido Rodrï¿½ï¿½,ar ARG,MF,29,24,22,1846,20.5,2,0,2,2,0,0,6,0,0.7,0.7,0.8,1.4,8,65,18,0.1,0,0.1,0.1,0.1,0.03,0.04,0.07,0.03,0.07,Real Betis,2023-2024,
8,Juan Miranda,es ESP,DF,23,25,21,1858,20.6,1,1,2,1,0,0,8,0,1.6,1.6,1.9,3.6,35,103,95,0.05,0.05,0.1,0.05,0.1,0.08,0.09,0.17,0.08,0.17,Real Betis,2023-2024,
9,Hï¿½ï¿½ctor Belle,es ESP,DF,28,23,20,1711,19,0,1,1,0,0,0,0,1,0.2,0.2,1.6,1.7,32,81,80,0,0.05,0.05,0,0.05,0.01,0.08,0.09,0.01,0.09,Real Betis,2023-2024,
10,Abner,br BRA,DF,23,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1,1.1,14,33,58,0,0.06,0.06,0,0.06,0.01,0.06,0.07,0.01,0.07,Real Betis,2023-2024,
11,Johnny Cardoso,us USA,MF,21,17,15,1328,14.8,1,2,3,1,0,0,3,0,1.1,1.1,0.5,1.6,10,45,11,0.07,0.14,0.2,0.07,0.2,0.07,0.03,0.11,0.07,0.11,Real Betis,2023-2024,
12,Pablo Fornals,es ESP,"FW,MF",27,15,14,1148,12.8,3,2,5,3,0,0,2,0,1.8,1.8,1.6,3.4,37,89,82,0.24,0.16,0.39,0.24,0.39,0.14,0.13,0.27,0.14,0.27,Real Betis,2023-2024,
13,Assane Diao,es ESP,FW,17,18,13,1048,11.6,2,0,2,2,0,0,4,0,2.5,2.5,0.7,3.2,33,20,101,0.17,0,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28,Real Betis,2023-2024,
14,Sokratis Papastathopoulos,gr GRE,DF,35,15,12,1136,12.6,0,0,0,0,0,0,6,0,0.3,0.3,0,0.3,1,13,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Real Betis,2023-2024,
15,Youssouf Sabaly,sn SEN,DF,30,12,12,1046,11.6,0,1,1,0,0,0,2,0,0.1,0.1,0.5,0.6,31,47,43,0,0.09,0.09,0,0.09,0.01,0.04,0.05,0.01,0.05,Real Betis,2023-2024,
16,Aitor Ruibal,es ESP,"DF,FW",27,18,11,1017,11.3,2,1,3,2,0,0,5,0,0.8,0.8,1.3,2.1,22,54,50,0.18,0.09,0.27,0.18,0.27,0.07,0.11,0.19,0.07,0.19,Real Betis,2023-2024,
17,Nabil Fekir,fr FRA,"MF,FW",30,19,10,1049,11.7,1,2,3,1,0,0,1,0,2.2,2.2,2.3,4.6,32,67,77,0.09,0.17,0.26,0.09,0.26,0.19,0.2,0.39,0.19,0.39,Real Betis,2023-2024,
18,Rodri,es ESP,"FW,MF",23,29,9,1051,11.7,0,0,0,0,0,0,0,0,1.1,1.1,1.2,2.2,49,65,116,0,0,0,0,0,0.09,0.1,0.19,0.09,0.19,Real Betis,2023-2024,
19,Claudio Bravo,cl CHI,GK,40,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Real Betis,2023-2024,
20,Abde Ezzalzouli,ma MAR,FW,21,26,6,865,9.6,1,0,1,1,0,1,1,0,3,2.2,0.3,2.5,57,25,89,0.1,0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26,Real Betis,2023-2024,
21,Luiz Henrique,br BRA,FW,22,14,6,616,6.8,0,3,3,0,0,0,1,0,1.2,1.2,1.6,2.9,35,17,58,0,0.44,0.44,0,0.44,0.18,0.24,0.42,0.18,0.42,Real Betis,2023-2024,
22,Sergi Altimira,es ESP,MF,21,14,6,568,6.3,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,10,31,8,0.16,0,0.16,0.16,0.16,0.03,0.04,0.07,0.03,0.07,Real Betis,2023-2024,
23,William Carvalho,pt POR,MF,31,22,4,680,7.6,1,3,4,1,0,0,2,0,0.4,0.4,0.7,1.1,12,58,12,0.13,0.4,0.53,0.13,0.53,0.05,0.09,0.14,0.05,0.14,Real Betis,2023-2024,
24,Andrï¿½ï¿½s Guar,mx MEX,MF,36,12,4,447,5,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,5,36,6,0,0,0,0,0,0.03,0.04,0.06,0.03,0.06,Real Betis,2023-2024,
25,Borja Iglesias,es ESP,FW,30,11,4,408,4.5,0,1,1,0,0,0,2,0,0.6,0.6,0.9,1.5,5,12,32,0,0.22,0.22,0,0.22,0.13,0.21,0.34,0.13,0.34,Real Betis,2023-2024,
26,Luiz Felipe,it ITA,DF,26,4,4,360,4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,4,0,0,0,0,0,0,0.02,0.06,0.07,0.02,0.07,Real Betis,2023-2024,
27,Ezequiel ï¿½ï¿½,ar ARG,FW,29,6,4,298,3.3,1,0,1,1,0,0,4,1,0.7,0.7,0.1,0.8,7,6,31,0.3,0,0.3,0.3,0.3,0.22,0.02,0.24,0.22,0.24,Real Betis,2023-2024,
28,Fran Vieites,es ESP,GK,24,4,3,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Real Betis,2023-2024,
29,Marc Bartra,es ESP,DF,32,3,3,225,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,2,5,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Real Betis,2023-2024,
30,Cï¿½ï¿½dric Bak,cd COD,FW,32,4,2,194,2.2,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,5,4,12,0,0,0,0,0,0.2,0.13,0.33,0.2,0.33,Real Betis,2023-2024,
31,Ricardo Visus,es ESP,DF,22,3,1,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Real Betis,2023-2024,
32,Juan Cruz,es ESP,FW,23,5,0,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,3,10,0,0,0,0,0,0.09,0.05,0.13,0.09,0.13,Real Betis,2023-2024,
33,Pablo Busto,es ESP,DF,17,2,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,1,1,0,0,0,0,0,0.03,0.41,0.44,0.03,0.44,Real Betis,2023-2024,
34,Paul Akouokou,ci CIV,MF,25,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Real Betis,2023-2024,
35,Enrique,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis,2023-2024,
36,Guilherme Fernandes,pt POR,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis,2023-2024,
37,Daniel Guerrero,es ESP,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis,2023-2024,
38,Nobel Mendy,fr FRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis,2023-2024,
39,Xavi Pleguezuelo,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis,2023-2024,
40,Squad Total,,,27.8,38,418,3420,38,46,31,77,44,2,3,87,3,43.9,41.7,32.7,74.4,676,1441,1424,1.21,0.82,2.03,1.16,1.97,1.16,0.86,2.02,1.1,1.96,Real Betis,2023-2024,
41,Opponent Total,,,27,38,418,3420,38,42,23,65,35,7,8,97,5,50.2,44,32.6,76.5,649,1457,1440,1.11,0.61,1.71,0.92,1.53,1.32,0.86,2.18,1.16,2.01,Real Betis,2023-2024,
0,Federico Valverde,uy URU,MF,25,37,33,2904,32.3,2,7,9,2,0,0,2,0,3.5,3.5,5.8,9.3,104,231,102,0.06,0.22,0.28,0.06,0.28,0.11,0.18,0.29,0.11,0.29,Real Madrid,2023-2024,
1,Antonio Rï¿½ï¿½d,de GER,DF,30,33,30,2709,30.1,1,0,1,1,0,0,7,0,1.5,1.5,1.2,2.6,17,88,1,0.03,0,0.03,0.03,0.03,0.05,0.04,0.09,0.05,0.09,Real Madrid,2023-2024,
2,Rodrygo,br BRA,FW,22,34,28,2380,26.4,10,5,15,10,0,1,2,0,11.7,10.9,4,14.9,159,90,301,0.38,0.19,0.57,0.38,0.57,0.44,0.15,0.59,0.41,0.56,Real Madrid,2023-2024,
3,Jude Bellingham,eng ENG,MF,20,28,27,2315,25.7,19,6,25,18,1,1,5,1,11.1,10.3,5.3,15.6,85,196,177,0.74,0.23,0.97,0.7,0.93,0.43,0.21,0.64,0.4,0.61,Real Madrid,2023-2024,
4,Dani Carvajal,es ESP,DF,31,28,25,2171,24.1,4,3,7,4,0,0,5,1,1.7,1.7,2.7,4.4,30,82,168,0.17,0.12,0.29,0.17,0.29,0.07,0.11,0.18,0.07,0.18,Real Madrid,2023-2024,
5,Toni Kroos,de GER,MF,33,33,24,2124,23.6,1,8,9,1,0,0,3,0,1.6,1.6,4.9,6.5,32,290,29,0.04,0.34,0.38,0.04,0.38,0.07,0.21,0.28,0.07,0.28,Real Madrid,2023-2024,
6,Aurï¿½ï¿½lien Tchouam,fr FRA,"MF,DF",23,27,22,1987,22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28,111,15,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.1,0.06,0.1,Real Madrid,2023-2024,
7,Vinicius Jï¿½ï¿½,br BRA,FW,23,26,22,1864,20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137,57,277,0.72,0.24,0.97,0.68,0.92,0.63,0.21,0.84,0.59,0.8,Real Madrid,2023-2024,
8,Andriy Lunin,ua UKR,GK,24,21,21,1890,21,0,0,0,0,0,0,2,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Real Madrid,2023-2024,
9,Eduardo Camavinga,fr FRA,"MF,DF",20,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49,106,31,0,0.1,0.1,0,0.1,0.05,0.07,0.11,0.05,0.11,Real Madrid,2023-2024,
10,Ferland Mendy,fr FRA,DF,28,23,21,1720,19.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,19,84,96,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Real Madrid,2023-2024,
11,Nacho,es ESP,DF,33,29,18,1746,19.4,0,1,1,0,0,0,4,2,0.5,0.5,1.2,1.7,13,55,9,0,0.05,0.05,0,0.05,0.03,0.06,0.09,0.03,0.09,Real Madrid,2023-2024,
12,Luka Modriï¿,hr CRO,MF,37,32,18,1688,18.8,2,6,8,2,0,0,2,0,1.3,1.3,5.5,6.8,53,196,85,0.11,0.32,0.43,0.11,0.43,0.07,0.3,0.37,0.07,0.37,Real Madrid,2023-2024,
13,Brahim Dï¿½ï,ma MAR,"FW,MF",23,31,18,1545,17.2,8,6,14,8,0,0,0,0,5.7,5.7,4.4,10.1,76,75,166,0.47,0.35,0.82,0.47,0.82,0.33,0.26,0.59,0.33,0.59,Real Madrid,2023-2024,
14,Joselu,es ESP,FW,33,34,15,1687,18.7,10,2,12,10,0,2,1,0,11.6,10,1.7,11.7,15,20,98,0.53,0.11,0.64,0.53,0.64,0.62,0.09,0.71,0.53,0.62,Real Madrid,2023-2024,
15,Fran Garcia,es ESP,DF,23,25,15,1398,15.5,1,5,6,1,0,0,2,0,0.5,0.5,2.4,3,53,60,139,0.06,0.32,0.39,0.06,0.39,0.03,0.16,0.19,0.03,0.19,Real Madrid,2023-2024,
16,Lucas Vï¿½ï¿½z,es ESP,DF,32,29,14,1419,15.8,3,6,9,3,0,0,0,0,1.2,1.1,3.8,4.8,28,58,160,0.19,0.38,0.57,0.19,0.57,0.07,0.24,0.31,0.07,0.31,Real Madrid,2023-2024,
17,David Alaba,at AUT,DF,31,14,14,1154,12.8,0,1,1,0,0,0,2,0,1,1,0.7,1.6,9,51,13,0,0.08,0.08,0,0.08,0.08,0.05,0.13,0.08,0.13,Real Madrid,2023-2024,
18,Kepa Arrizabalaga,es ESP,GK,28,14,13,1198,13.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Real Madrid,2023-2024,
19,ýýder Militýýo,br BRA,DF,25,10,6,496,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,15,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Real Madrid,2023-2024,
20,Dani Ceballos,es ESP,"MF,FW",26,20,5,598,6.6,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,16,47,23,0,0.3,0.3,0,0.3,0.05,0.22,0.27,0.05,0.27,Real Madrid,2023-2024,
21,Arda Gï¿½ï¿,tr TUR,"FW,MF",18,10,4,377,4.2,6,0,6,6,0,0,1,0,1.4,1.4,0.1,1.6,16,17,25,1.43,0,1.43,1.43,1.43,0.34,0.03,0.37,0.34,0.37,Real Madrid,2023-2024,
22,Thibaut Courtois,be BEL,GK,31,4,4,332,3.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Real Madrid,2023-2024,
23,Nicolï¿½ï¿½s,ar ARG,"MF,FW",18,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,6,2,0,0,0,0,0,0.31,0,0.31,0.31,0.31,Real Madrid,2023-2024,
24,Gonzalo Garcï¿½,es ESP,"FW,MF",19,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Real Madrid,2023-2024,
25,Mario Martï¿½,es ESP,MF,19,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Real Madrid,2023-2024,
26,ýýlvaro Rodrýýguez,uy URU,FW,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Real Madrid,2023-2024,
27,Lucas Caï¿½ï¿½iz,es ESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
28,Aï¿½ï¿½lvaro Carr,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
29,Fran,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
30,Fran Gonzï¿½ï¿,es ESP,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
31,Mario de Luis,es ESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
32,ýýlvaro Odriozola,es ESP,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
33,Diego Piï¿½ï¿½,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
34,Edgar Pujol,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
35,Jacobo Ramï¿½,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
36,Vinicius Tobias,br BRA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
37,Theo Zidane,fr FRA,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid,2023-2024,
